Date,Open,High,Low,Close,Volume
14-Dec-15,217.51,220.92,214.87,218.58,2827068
11-Dec-15,225.24,225.75,216.64,217.02,3268726
10-Dec-15,224.71,228.49,223.64,227.07,2071692
09-Dec-15,226.7,227.5,220.72,224.52,3057753
08-Dec-15,227.52,228.8,224.2,226.72,2687636
07-Dec-15,227.7,235.63,226.15,231.13,3144223
04-Dec-15,232.46,233.27,227.66,230.38,2573603
03-Dec-15,235.48,237.45,230,232.71,2939564
02-Dec-15,237,238.6,231.23,231.99,2975721
01-Dec-15,231.06,238,231.05,237.19,3728287
30-Nov-15,231.79,234.28,229.08,230.26,2585753
27-Nov-15,231.06,232.25,227.01,231.61,1949127
25-Nov-15,221.34,230.82,220.38,229.64,3990779
24-Nov-15,215.37,221,215,218.25,2452304
23-Nov-15,217.35,219.18,214.68,217.75,2524994
20-Nov-15,223.49,225,213.58,220.01,4388932
19-Nov-15,220.54,226.19,220.3,221.8,2499363
18-Nov-15,214.5,221.38,212.52,221.07,2805192
17-Nov-15,215.2,216,211.4,214,2143269
16-Nov-15,206.09,214.98,205.8,214.31,2917082
13-Nov-15,212.95,212.99,206.52,207.19,3412083
12-Nov-15,217.85,219,212.66,212.94,2910023
11-Nov-15,217.77,219.48,213.63,219.08,3334955
10-Nov-15,223.48,223.7,216.08,216.5,4568414
09-Nov-15,232.99,232.99,224.31,225.33,3843824
06-Nov-15,230.7,233.36,229.5,232.36,2443465
05-Nov-15,230.58,234.58,229.19,231.77,4493263
04-Nov-15,230.68,232.74,225.2,231.63,12706650
03-Nov-15,210,214.44,207.75,208.35,7141113
02-Nov-15,208.92,215.8,207.22,213.79,3919308
30-Oct-15,210.4,211.63,203.89,206.93,4372936
29-Oct-15,211.75,213.75,210.64,211.63,1782358
28-Oct-15,211.31,213.45,208.3,212.96,2672551
27-Oct-15,214.84,217.1,207.51,210.35,3500711
26-Oct-15,211.38,215.88,210,215.26,3387107
23-Oct-15,215,215.35,207.69,209.09,4142080
22-Oct-15,211.56,215.75,209.4,211.72,2809155
21-Oct-15,211.99,214.81,208.8,210.09,4151463
20-Oct-15,227.72,228.6,202,213.03,14863266
19-Oct-15,226.5,231.15,224.94,228.1,2499326
